"State","BeerName","ABV","IBU","Style","BreweryName","lat","long"
"AL","Lily Flagg Milk Stout",0.05,30,"Milk / Sweet Stout","Straight to Ale","32.3617","-86.2792"
"AL","Naked Pig Pale Ale",0.06,43,"American Pale Ale (APA)","Back Forty Beer Company","32.3617","-86.2792"
"AL","Sand Island Lighthouse",0.051,25,"Kölsch","Straight to Ale","32.3617","-86.2792"
"AL","Good People IPA",0.06,64,"American IPA","Good People Brewing Company","32.3617","-86.2792"
"AL","Good People Pale Ale",0.056,36,"American Pale Ale (APA)","Good People Brewing Company","32.3617","-86.2792"
"AL","Good People American Brown Ale",0.058,36,"American Brown Ale","Good People Brewing Company","32.3617","-86.2792"
"AR","Ozark American Pale Ale",0.04,39,"American Pale Ale (APA)","Ozark Beer Company","34.7361","-92.3311"
"AZ","Mr. Pineapple",0.05,20,"Fruit / Vegetable Beer","SanTan Brewing Company","33.45","-112.067"
"AZ","SanTan HefeWeizen",0.05,15,"Hefeweizen","SanTan Brewing Company","33.45","-112.067"
"AZ","Sex Panther",0.069,20,"American Porter","SanTan Brewing Company","33.45","-112.067"
"AZ","Epicenter Amber Ale",0.055,20,"American Amber / Red Ale","SanTan Brewing Company","33.45","-112.067"
"AZ","Camelback",0.061,60,"American IPA","Phoenix Ale Brewery","33.45","-112.067"
"AZ","Sunbru Kölsch",0.052,17,"Kölsch","Four Peaks Brewing Company","33.45","-112.067"
"AZ","Epicenter Amber Ale (2010)",0.055,20,"American Amber / Red Ale","SanTan Brewing Company","33.45","-112.067"
"AZ","Sex Panther (2014)",0.069,20,"American Porter","SanTan Brewing Company","33.45","-112.067"
"AZ","Devil’s Ale",0.055,45,"American Pale Ale (APA)","SanTan Brewing Company","33.45","-112.067"
"AZ","Noche Dulce",0.071,16,"American Porter","Borderlands Brewing Company","33.45","-112.067"
"AZ","SanTan HefeWeizen (2010)",0.05,15,"Hefeweizen","SanTan Brewing Company","33.45","-112.067"
"AZ","Kilt Lifter Scottish-Style Ale",0.06,21,"","Four Peaks Brewing Company","33.45","-112.067"
"AZ","Hop Shock IPA",0.07,85,"American IPA","SanTan Brewing Company","33.45","-112.067"
"AZ","Lumberyard Pilsner",0.053,20,"American Pilsner","Lumberyard Brewing Company","33.45","-112.067"
"AZ","Hop Knot IPA",0.067,47,"American IPA","Four Peaks Brewing Company","33.45","-112.067"
"AZ","SunSpot Golden Ale",0.05,15,"American Blonde Ale","SanTan Brewing Company","33.45","-112.067"
"AZ","Devil’s Ale (2010)",0.055,45,"American Pale Ale (APA)","SanTan Brewing Company","33.45","-112.067"
"AZ","Barrio Blanco",0.06,60,"American IPA","Barrio Brewing Company","33.45","-112.067"
"AZ","Count Hopula (Vault Series)",0.091,99,"American Double / Imperial IPA","SanTan Brewing Company","33.45","-112.067"
"AZ","Kilt Lifter Scottish-Style Ale (2009)",0.06,21,"Scottish Ale","Four Peaks Brewing Company","33.45","-112.067"
"AZ","American Idiot Ale (2012)",0.055,45,"American Pale Ale (APA)","SanTan Brewing Company","33.45","-112.067"
"AZ","Winter Warmer (Vault Series)",0.095,25,"Winter Warmer","SanTan Brewing Company","33.45","-112.067"
"AZ","Hop Shock IPA (2010)",0.07,85,"American IPA","SanTan Brewing Company","33.45","-112.067"
"AZ","Four Peaks Peach Ale",0.042,9,"Fruit / Vegetable Beer","Four Peaks Brewing Company","33.45","-112.067"
"CA","Dodgy Knight Imperial IPA",0.08,95,"American Double / Imperial IPA","TailGate Beer","38.5556","-121.469"
"CA","Habitus (2014)",0.08,100,"American Double / Imperial IPA","Mike Hess Brewing Company","38.5556","-121.469"
"CA","TailGate Hefeweizen",0.049,28,"Hefeweizen","TailGate Beer","38.5556","-121.469"
"CA","Solis",0.075,85,"American IPA","Mike Hess Brewing Company","38.5556","-121.469"
"CA","Back in the Saddle Rye Pale Ale",0.037,53,"American Pale Ale (APA)","Mavericks Beer Company","38.5556","-121.469"
"CA","TailGate IPA",0.05,44,"American IPA","TailGate Beer","38.5556","-121.469"
"CA","Westfalia",0.056,16,"American Amber / Red Ale","Fort Point Beer Company","38.5556","-121.469"
"CA","KSA",0.046,17,"Kölsch","Fort Point Beer Company","38.5556","-121.469"
"CA","Blacktop Blonde",0.05,19,"American Blonde Ale","TailGate Beer","38.5556","-121.469"
"CA","TailGate IPA",0.05,44,"American IPA","TailGate Beer","38.5556","-121.469"
"CA","Golden Road Hefeweizen",0.046,15,"Hefeweizen","Golden Road Brewing","38.5556","-121.469"
"CA","Heal the Bay IPA",0.068,65,"American IPA","Golden Road Brewing","38.5556","-121.469"
"CA","Park",0.047,19,"American Pale Wheat Ale","Fort Point Beer Company","38.5556","-121.469"
"CA","Saint Archer White Ale",0.05,15,"Witbier","Saint Archer Brewery","38.5556","-121.469"
"CA","Point the Way IPA",0.059,60,"American IPA","Golden Road Brewing","38.5556","-121.469"
"CA","Baby Daddy Session IPA",0.047,35,"American IPA","Speakasy Ales & Lagers","38.5556","-121.469"
"CA","Barney Flats Oatmeal Stout",0.057,13,"Oatmeal Stout","Anderson Valley Brewing Company","38.5556","-121.469"
"CA","Point the Way IPA",0.059,60,"American IPA","Golden Road Brewing","38.5556","-121.469"
"CA","Blacktop Blonde",0.05,19,"American Blonde Ale","TailGate Beer","38.5556","-121.469"
"CA","Hell or High Watermelon Wheat",0.049,17,"Fruit / Vegetable Beer","21st Amendment Brewery","38.5556","-121.469"
"CA","Jucundus",0.06,24,"Wheat Ale","Mike Hess Brewing Company","38.5556","-121.469"
"CA","Habitus",0.08,100,"American Double / Imperial IPA","Mike Hess Brewing Company","38.5556","-121.469"
"CA","Pt. Bonita Rustic Lager",0.062,40,"American Pale Lager","Headlands Brewing Company","38.5556","-121.469"
"CA","Blood Orange Wit",0.05,16,"Witbier","Refuge Brewery","38.5556","-121.469"
"CA","Saison Pamplemousse",0.058,35,"Saison / Farmhouse Ale","Golden Road Brewing","38.5556","-121.469"
"CA","Poleeko Gold Pale Ale (2009)",0.055,28,"American Pale Ale (APA)","Anderson Valley Brewing Company","38.5556","-121.469"
"CA","Pace Setter Belgian Style Wit",0.037,21,"Witbier","Mavericks Beer Company","38.5556","-121.469"
"CA","Villager",0.063,42,"American IPA","Fort Point Beer Company","38.5556","-121.469"
"CA","Double Trunk",0.099,101,"American Double / Imperial IPA","The Dudes' Brewing Company","38.5556","-121.469"
"CA","Even Keel",0.038,40,"American IPA","Ballast Point Brewing Company","38.5556","-121.469"
"CA","Ballast Point Pale Ale",0.052,23,"Kölsch","Ballast Point Brewing Company","38.5556","-121.469"
"CA","Get Up Offa That Brown",0.055,20,"American Brown Ale","Golden Road Brewing","38.5556","-121.469"
"CA","Burning Bush Smoked IPA",0.08,70,"American IPA","Golden Road Brewing","38.5556","-121.469"
"CA","Czech Yo Self",0.055,45,"Czech Pilsener","Figueroa Mountain Brewing Company","38.5556","-121.469"
"CA","Groupe G",0.076,65,"Belgian IPA","Headlands Brewing Company","38.5556","-121.469"
"CA","Brew Free! or Die IPA (2008)",0.07,70,"American IPA","21st Amendment Brewery","38.5556","-121.469"
"CA","Brew Free! or Die IPA (2009)",0.07,70,"American IPA","21st Amendment Brewery","38.5556","-121.469"
"CA","Grazias",0.063,30,"Cream Ale","Mike Hess Brewing Company","38.5556","-121.469"
"CA","Pit Stop Chocolate Porter",0.037,34,"American Porter","Mavericks Beer Company","38.5556","-121.469"
"CA","Claritas",0.058,28,"Kölsch","Mike Hess Brewing Company","38.5556","-121.469"
"CA","Better Weather IPA",0.094,92,"American IPA","Golden Road Brewing","38.5556","-121.469"
"CA","Summer Solstice",0.056,4,"Cream Ale","Anderson Valley Brewing Company","38.5556","-121.469"
"CA","Saint Archer Pale Ale",0.052,40,"American Pale Ale (APA)","Saint Archer Brewery","38.5556","-121.469"
"CA","Saint Archer Blonde",0.048,22,"Kölsch","Saint Archer Brewery","38.5556","-121.469"
"CA","Big Eye India Pale Ale",0.07,75,"American IPA","Ballast Point Brewing Company","38.5556","-121.469"
"CA","Sculpin IPA",0.07,70,"American IPA","Ballast Point Brewing Company","38.5556","-121.469"
"CA","Shipwrecked Double IPA",0.092,75,"American Double / Imperial IPA","Mission Brewery","38.5556","-121.469"
"CA","FMB 101",0.048,20,"Kölsch","Figueroa Mountain Brewing Company","38.5556","-121.469"
"CA","Summer Solstice Cerveza Crema (2009)",0.056,4,"Cream Ale","Anderson Valley Brewing Company","38.5556","-121.469"
"CA","Barney Flats Oatmeal Stout (2012)",0.057,13,"Oatmeal Stout","Anderson Valley Brewing Company","38.5556","-121.469"
"CA","Winter Solstice",0.069,6,"Winter Warmer","Anderson Valley Brewing Company","38.5556","-121.469"
"CA","Hop Ottin' IPA (2011)",0.07,80,"American IPA","Anderson Valley Brewing Company","38.5556","-121.469"
"CA","Boont Amber Ale (2011)",0.058,15,"American Amber / Red Ale","Anderson Valley Brewing Company","38.5556","-121.469"
"CA","Barney Flats Oatmeal Stout",0.057,13,"Oatmeal Stout","Anderson Valley Brewing Company","38.5556","-121.469"
"CA","Mucho Aloha Hawaiian Pale Ale",0.056,36,"American Pale Ale (APA)","Butcher's Brewing","38.5556","-121.469"
"CA","805",0.047,20,"American Blonde Ale","Firestone Walker Brewing Company","38.5556","-121.469"
"CA","Gillespie Brown Ale",0.095,49,"American Brown Ale","Manzanita Brewing Company","38.5556","-121.469"
"CA","Aurora",0.067,75,"American Amber / Red Ale","Modern Times Beer","38.5556","-121.469"
"CA","Lomaland",0.055,30,"Saison / Farmhouse Ale","Modern Times Beer","38.5556","-121.469"
"CA","Fortunate Islands",0.047,46,"American Pale Wheat Ale","Modern Times Beer","38.5556","-121.469"
"CA","Black House",0.058,40,"American Stout","Modern Times Beer","38.5556","-121.469"
"CA","Blazing World",0.065,115,"American Amber / Red Ale","Modern Times Beer","38.5556","-121.469"
"CA","Grazias",0.063,30,"Cream Ale","Hess Brewing Company","38.5556","-121.469"
"CA","Hill 88 Double IPA",0.088,77,"American Double / Imperial IPA","Headlands Brewing Company","38.5556","-121.469"
"CA","Might As Well IPL",0.072,75,"American Pale Lager","Golden Road Brewing","38.5556","-121.469"
"CA","Habitus IPA",0.08,86,"American IPA","Hess Brewing Company","38.5556","-121.469"
"CA","2020 IPA",0.074,74,"American IPA","Golden Road Brewing","38.5556","-121.469"
"CA","Wolf Among Weeds IPA",0.08,70,"American IPA","Golden Road Brewing","38.5556","-121.469"
"CA","Orange Wheat",0.046,17,"Fruit / Vegetable Beer","Hangar 24 Craft Brewery","38.5556","-121.469"
"CA","Hangar 24 Helles Lager",0.043,14,"Munich Helles Lager","Hangar 24 Craft Brewery","38.5556","-121.469"
"CA","Fireside Chat",0.079,45,"Winter Warmer","21st Amendment Brewery","38.5556","-121.469"
"CA","Bitter American",0.044,42,"American Pale Ale (APA)","21st Amendment Brewery","38.5556","-121.469"
"CA","Hell or High Watermelon Wheat (2009)",0.049,17,"Fruit / Vegetable Beer","21st Amendment Brewery","38.5556","-121.469"
"CA","Hell or High Watermelon Wheat (2009)",0.049,17,"Fruit / Vegetable Beer","21st Amendment Brewery","38.5556","-121.469"
"CA","1881 California Red",0.056,35,"American Amber / Red Ale","Ruhstaller Beer Company","38.5556","-121.469"
"CA","TailGate Hefeweizen",0.049,28,"Hefeweizen","TailGate Beer","38.5556","-121.469"
"CA","Point the Way IPA (2012)",0.059,60,"American IPA","Golden Road Brewing","38.5556","-121.469"
"CA","Golden Road Hefeweizen (2012)",0.046,15,"Hefeweizen","Golden Road Brewing","38.5556","-121.469"
"CA","1881 California Red Ale",0.056,35,"American Amber / Red Ale","Ruhstaller Beer Company","38.5556","-121.469"
"CA","Summerfest",0.05,28,"Czech Pilsener","Sierra Nevada Brewing Company","38.5556","-121.469"
"CA","Cali Creamin'",0.052,21,"Cream Ale","Mother Earth Brew Company","38.5556","-121.469"
"CA","Deception",0.045,16,"American Blonde Ale","Black Market Brewing Company","38.5556","-121.469"
"CA","Hop Ottin' IPA",0.07,80,"American IPA","Anderson Valley Brewing Company","38.5556","-121.469"
"CA","Boont Amber Ale",0.058,15,"American Amber / Red Ale","Anderson Valley Brewing Company","38.5556","-121.469"
"CA","El Steinber Dark Lager",0.055,25,"Vienna Lager","Anderson Valley Brewing Company","38.5556","-121.469"
"CA","Boont Amber Ale (2010)",0.058,15,"American Amber / Red Ale","Anderson Valley Brewing Company","38.5556","-121.469"
"CA","El Conquistador Extra Pale Ale",0.048,44,"American Pale Ale (APA)","Mission Brewery","38.5556","-121.469"
"CA","Terrace Hill Double IPA",0.095,99,"American Double / Imperial IPA","Central Coast Brewing Company","38.5556","-121.469"
"CA","Catch 23",0.075,77,"American Black Ale","Central Coast Brewing Company","38.5556","-121.469"
"CA","Torpedo",0.072,65,"American IPA","Sierra Nevada Brewing Company","38.5556","-121.469"
"CA","Sierra Nevada Pale Ale",0.056,37,"American Pale Ale (APA)","Sierra Nevada Brewing Company","38.5556","-121.469"
"CA","Mo's Gose",0.052,10,"Gose","Armstrong Brewing Company","38.5556","-121.469"
"CA","Special Edition: Allies Win The War!",0.085,52,"English Strong Ale","21st Amendment Brewery","38.5556","-121.469"
"CA","Summer Solstice (2011)",0.056,4,"Cream Ale","Anderson Valley Brewing Company","38.5556","-121.469"
"CA","Union Jack",0.075,75,"American IPA","Firestone Walker Brewing Company","38.5556","-121.469"
"CA","Giant DIPA",0.089,88,"American Double / Imperial IPA","Santa Cruz Mountain Brewing","38.5556","-121.469"
"CA","California Sunshine Rye IPA",0.071,85,"American IPA","Devil's Canyon Brewery","38.5556","-121.469"
"CA","Manzanita Pale Ale",0.066,44,"American Pale Ale (APA)","Manzanita Brewing Company","38.5556","-121.469"
"CA","Chai Ale",0.051,15,"Herbed / Spiced Beer","Central Coast Brewing Company","38.5556","-121.469"
"CA","Lucky Day IPA",0.072,85,"American IPA","Central Coast Brewing Company","38.5556","-121.469"
"CA","Mission IPA",0.068,66,"American IPA","Mission Brewery","38.5556","-121.469"
"CA","21st Amendment Watermelon Wheat Beer (2006)",0.049,17,"Fruit / Vegetable Beer","21st Amendment Brewery","38.5556","-121.469"
"CA","Wolf Among Weeds IPA (2012)",0.08,70,"American IPA","Golden Road Brewing","38.5556","-121.469"
"CA","CAPT Black IPA",0.073,55,"American Black Ale","Ruhstaller Beer Company","38.5556","-121.469"
"CA","Ruhstaller's Gilt Edge Lager Beer",0.048,42,"American Amber / Red Lager","Ruhstaller Beer Company","38.5556","-121.469"
"CA","Lower De Boom",0.099,92,"American Barleywine","21st Amendment Brewery","38.5556","-121.469"
"CA","Ex Umbris Rye Imperial Stout",0.099,85,"American Double / Imperial Stout","Hess Brewing Company","38.5556","-121.469"
"CA","Hop Crisis",0.097,94,"American Double / Imperial IPA","21st Amendment Brewery","38.5556","-121.469"
"CA","Surfrider",0.052,35,"American Pale Ale (APA)","The Dudes' Brewing Company","38.5556","-121.469"
"CA","Booming Rollers",0.068,75,"American IPA","Modern Times Beer","38.5556","-121.469"
"CA","Grandma's Pecan",0.069,34,"English Brown Ale","The Dudes' Brewing Company","38.5556","-121.469"
"CA","Brew Free! or Die IPA",0.07,65,"American IPA","21st Amendment Brewery","38.5556","-121.469"
"CA","Monk's Blood",0.083,35,"Belgian Dark Ale","21st Amendment Brewery","38.5556","-121.469"
"CA","Blur India Pale Ale",0.074,60,"American IPA","Seabright Brewery","38.5556","-121.469"
"CA","Fireside Chat (2010)",0.079,45,"Winter Warmer","21st Amendment Brewery","38.5556","-121.469"
"CA","Old Chico Crystal Wheat",0.048,26,"American Pale Wheat Ale","Sierra Nevada Brewing Company","38.5556","-121.469"
"CA","21st Amendment IPA (2006)",0.07,70,"American IPA","21st Amendment Brewery","38.5556","-121.469"
"CA","Oneida",0.052,50,"American Pale Ale (APA)","Modern Times Beer","38.5556","-121.469"
"CA","Saint Archer IPA",0.068,66,"American IPA","Saint Archer Brewery","38.5556","-121.469"
"CA","Black Market Hefeweizen",0.05,8,"Hefeweizen","Black Market Brewing Company","38.5556","-121.469"
"CA","Easy Jack",0.045,47,"American IPA","Firestone Walker Brewing Company","38.5556","-121.469"
"CA","Jacaranada Rye IPA",0.067,60,"American IPA","Claremont Craft Ales","38.5556","-121.469"
"CA","Back in Black",0.068,65,"American Black Ale","21st Amendment Brewery","38.5556","-121.469"
"CA","Sierra Nevada Pale Ale",0.056,37,"American Pale Ale (APA)","Sierra Nevada Brewing Company","38.5556","-121.469"
"CA","Full Boar Scotch Ale",0.074,12,"Scotch Ale / Wee Heavy","Devil's Canyon Brewery","38.5556","-121.469"
"CA","Blackmarket Rye IPA",0.075,35,"American IPA","Black Market Brewing Company","38.5556","-121.469"
"CA","Torpedo",0.072,65,"American IPA","Sierra Nevada Brewing Company","38.5556","-121.469"
"CA","Manzanita IPA",0.08,88,"American IPA","Manzanita Brewing Company","38.5556","-121.469"
"CA","CAPT Black IPA",0.073,55,"American Black Ale","Ruhstaller Beer Company","38.5556","-121.469"
"CA","Aftermath Pale Ale",0.058,44,"American Pale Ale (APA)","Black Market Brewing Company","38.5556","-121.469"
"CA","City of the Sun",0.075,85,"American IPA","Modern Times Beer","38.5556","-121.469"
"CA","Riverwalk Blonde Ale",0.06,25,"American Blonde Ale","Manzanita Brewing Company","38.5556","-121.469"
"CA","Deadicated Amber",0.054,27,"American Amber / Red Ale","Devil's Canyon Brewery","38.5556","-121.469"
"CA","Bitter American (2011)",0.044,42,"American Pale Ale (APA)","21st Amendment Brewery","38.5556","-121.469"
"CA","Chaotic Double IPA",0.099,93,"American Double / Imperial IPA","Manzanita Brewing Company","38.5556","-121.469"
"CO","1554 Black Lager",0.056,21,"Euro Dark Lager","New Belgium Brewing Company","39.7618","-104.881"
"CO","Dale's Pale Ale (2011)",0.065,65,"American Pale Ale (APA)","Oskar Blues Brewery","39.7618","-104.881"
"CO","Gordon Imperial Red (2010)",0.087,85,"American Double / Imperial IPA","Oskar Blues Brewery","39.7618","-104.881"
"CO","Upslope Craft Lager",0.048,22,"Vienna Lager","Upslope Brewing Company","39.7618","-104.881"
"CO","Psycho Penguin Vanilla Porter",0.054,36,"American Porter","Odyssey Beerwerks","39.7618","-104.881"
"CO","Ranger IPA (Current)",0.065,70,"American IPA","New Belgium Brewing Company","39.7618","-104.881"
"CO","Colorado Kölsch",0.049,17,"Kölsch","Steamworks Brewing Company","39.7618","-104.881"
"CO","Aprè Shred",0.081,17,"American Strong Ale","Big Choice Brewing","39.7618","-104.881"
"CO","Fat Tire Amber Ale (2008)",0.052,18,"American Amber / Red Ale","New Belgium Brewing Company","39.7618","-104.881"
"CO","Fat Tire Amber Ale",0.052,18,"American Amber / Red Ale","New Belgium Brewing Company","39.7618","-104.881"
"CO","Morning Wood Wheat (Current)",0.059,14,"American Pale Wheat Ale","Pug Ryan's Brewery","39.7618","-104.881"
"CO","Hideout Helles",0.069,17,"Munich Helles Lager","Pug Ryan's Brewery","39.7618","-104.881"
"CO","Hemlock Double IPA",0.095,104,"American Double / Imperial IPA","Big Choice Brewing","39.7618","-104.881"
"CO","Lucky U IPA",0.062,68,"American IPA","Breckenridge Brewery","39.7618","-104.881"
"CO","Shift",0.05,29,"American Pale Lager","New Belgium Brewing Company","39.7618","-104.881"
"CO","Third Eye Enlightened Pale Ale",0.065,65,"American Pale Ale (APA)","Steamworks Brewing Company","39.7618","-104.881"
"CO","Clan Warrior",0.087,29,"Scotch Ale / Wee Heavy","Odyssey Beerwerks","39.7618","-104.881"
"CO","Steam Engine Lager",0.057,25,"American Amber / Red Lager","Steamworks Brewing Company","39.7618","-104.881"
"CO","Sanitas Saison Ale",0.058,20,"Saison / Farmhouse Ale","Sanitas Brewing Company","39.7618","-104.881"
"CO","Old Chub",0.08,35,"Scottish Ale","Oskar Blues Brewery","39.7618","-104.881"
"CO","HGH (Home Grown Hops): Part Duh",0.08,70,"American Strong Ale","Oskar Blues Brewery","39.7618","-104.881"
"CO","Ornery Amber Lager (2003)",0.055,33,"Vienna Lager","Tommyknocker Brewery","39.7618","-104.881"
"CO","Slow Ride",0.045,40,"American IPA","New Belgium Brewing Company","39.7618","-104.881"
"CO","Elephant Rock IPA",0.07,75,"American IPA","Pikes Peak Brewing Company","39.7618","-104.881"
"CO","Laimas Kölsch Style Ale",0.05,20,"Kölsch","Fate Brewing Company","39.7618","-104.881"
"CO","Avery Joe’s Premium American Pilsner",0.047,42,"German Pilsener","Avery Brewing Company","39.7618","-104.881"
"CO","Fat Tire Amber Ale",0.052,18,"American Amber / Red Ale","New Belgium Brewing Company","39.7618","-104.881"
"CO","Third Eye Pale Ale",0.065,65,"American IPA","Steamworks Brewing Company","39.7618","-104.881"
"CO","Dale's Pale Ale (2004)",0.065,65,"American Pale Ale (APA)","Oskar Blues Brewery","39.7618","-104.881"
"CO","Dale's Pale Ale (2006)",0.065,65,"American Pale Ale (APA)","Oskar Blues Brewery","39.7618","-104.881"
"CO","GUBNA Imperial IPA",0.099,100,"American Double / Imperial IPA","Oskar Blues Brewery","39.7618","-104.881"
"CO","Modus Hoperandi",0.068,65,"American IPA","Ska Brewing Company","39.7618","-104.881"
"CO","Moirai India Pale Ale",0.07,70,"American IPA","Fate Brewing Company","39.7618","-104.881"
"CO","Independence Pass Ale",0.07,67,"American IPA","Aspen Brewing Company","39.7618","-104.881"
"CO","Perpetual Darkness",0.092,72,"Belgian Strong Dark Ale","Odyssey Beerwerks","39.7618","-104.881"
"CO","SummerBright Ale",0.045,15,"American Pale Wheat Ale","Breckenridge Brewery","39.7618","-104.881"
"CO","Rustic Red",0.052,23,"Irish Red Ale","Pateros Creek Brewing Company","39.7618","-104.881"
"CO","Disconnected Red",0.067,85,"American Amber / Red Ale","Big Choice Brewing","39.7618","-104.881"
"CO","Car 21",0.044,28,"English Bitter","Pateros Creek Brewing Company","39.7618","-104.881"
"CO","Neomexicanus Native",0.06,46,"American Pale Ale (APA)","Crazy Mountain Brewing Company","39.7618","-104.881"
"CO","Eclipse Black IPA",0.077,71,"American Black Ale","Crabtree Brewing Company","39.7618","-104.881"
"CO","Ten Fidy Imperial Stout",0.099,98,"Russian Imperial Stout","Oskar Blues Brewery","39.7618","-104.881"
"CO","Mama's Little Yella Pils",0.053,35,"Czech Pilsener","Oskar Blues Brewery","39.7618","-104.881"
"CO","Mama's Little Yella Pils",0.053,35,"Czech Pilsener","Oskar Blues Brewery","39.7618","-104.881"
"CO","IPA & a Half",0.073,87,"American IPA","Tommyknocker Brewery","39.7618","-104.881"
"CO","This Season's Blonde",0.056,27,"American Blonde Ale","Aspen Brewing Company","39.7618","-104.881"
"CO","Estival Cream Stout",0.058,15,"American Stout","Ska Brewing Company","39.7618","-104.881"
"CO","Gordon Ale (2009)",0.087,85,"American Double / Imperial IPA","Oskar Blues Brewery","39.7618","-104.881"
"CO","Dale's Pale Ale",0.065,65,"American Pale Ale (APA)","Oskar Blues Brewery","39.7618","-104.881"
"CO","Firestarter India Pale Ale",0.066,72,"American IPA","Bonfire Brewing Company","39.7618","-104.881"
"CO","Kilt Dropper Scotch Ale",0.075,22,"Scotch Ale / Wee Heavy","Bonfire Brewing Company","39.7618","-104.881"
"CO","Avalanche Ale",0.054,19,"American Amber / Red Ale","Breckenridge Brewery","39.7618","-104.881"
"CO","Summertime Ale",0.052,23,"Kölsch","Crystal Springs Brewing Company","39.7618","-104.881"
"CO","Farmer Wirtz India Pale Ale",0.07,94,"English India Pale Ale (IPA)","Bonfire Brewing Company","39.7618","-104.881"
"CO","Screaming Eagle Special Ale ESB",0.048,38,"Extra Special / Strong Bitter (ESB)","Bonfire Brewing Company","39.7618","-104.881"
"CO","G'KNIGHT (12 oz.)",0.087,85,"American Double / Imperial IPA","Oskar Blues Brewery","39.7618","-104.881"
"CO","Kindler Pale Ale",0.053,45,"American Pale Ale (APA)","Bonfire Brewing Company","39.7618","-104.881"
"CO","Dale's Pale Ale",0.065,65,"American Pale Ale (APA)","Oskar Blues Brewery","39.7618","-104.881"
"CO","Silverback Pale Ale",0.055,40,"American Pale Ale (APA)","Wynkoop Brewing Company","39.7618","-104.881"
"CO","Norns Roggenbier",0.05,20,"Roggenbier","Fate Brewing Company","39.7618","-104.881"
"CO","Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout",0.099,51,"American Double / Imperial Stout","Upslope Brewing Company","39.7618","-104.881"
"CO","Agave Wheat",0.042,9,"American Pale Wheat Ale","Breckenridge Brewery","39.7618","-104.881"
"CO","White Rascal",0.056,10,"Witbier","Avery Brewing Company","39.7618","-104.881"
"CO","Ranger IPA",0.065,70,"American IPA","New Belgium Brewing Company","39.7618","-104.881"
"CO","Dale's Pale Ale (2008)",0.065,65,"American Pale Ale (APA)","Oskar Blues Brewery","39.7618","-104.881"
"CO","Redacted Rye IPA",0.07,100,"American IPA","Renegade Brewing Company","39.7618","-104.881"
"CO","Sudice American Stout",0.07,58,"American Stout","Fate Brewing Company","39.7618","-104.881"
"CO","One Hit Wonder",0.09,60,"American Double / Imperial IPA","Oskar Blues Brewery","39.7618","-104.881"
"CO","Dry Dock Amber Ale",0.058,49,"American Amber / Red Ale","Dry Dock Brewing Company","39.7618","-104.881"
"CO","Crank Yanker IPA (2011)",0.078,74,"American IPA","Eddyline Brewery & Restaurant","39.7618","-104.881"
"CO","Morning Wood Wheat (Current)",0.059,14,"American Pale Wheat Ale","Pug Ryan's Brewery","39.7618","-104.881"
"CO","Yeti  Imperial Stout",0.095,75,"Russian Imperial Stout","Great Divide Brewing Company","39.7618","-104.881"
"CO","Lee Hill Series Vol. 2 - Wild Saison",0.068,24,"American Wild Ale","Upslope Brewing Company","39.7618","-104.881"
"CO","Gordon (2005)",0.092,85,"American Double / Imperial IPA","Oskar Blues Brewery","39.7618","-104.881"
