"BeerName","Beer_ID","ABV","IBU","Style","Ounces"
"Hinchtown Hammer Down",2284,0.05,27,"American Blonde Ale",16
"Half Cycle IPA",1610,0.06,104,"American IPA",16
"Cafe Leche",2623,0.058,20,"American Porter",16
"Damascene Apricot Sour",2622,0.052,12,"Fruit / Vegetable Beer",16
"Csar",2621,0.12,90,"Russian Imperial Stout",16
"Overlord Imperial IPA",1449,0.085,115,"American Double / Imperial IPA",16
"Alloy",951,0.058,36,"American IPA",16
"Rivet Irish Red Ale",950,0.051,22,"Irish Red Ale",16
"3 Gear Robust Porter",949,0.052,50,"American Porter",16
"Circuit Bohemian Pilsner",948,0.045,35,"Czech Pilsener",16
"Saucy Intruder",2620,0.072,75,"Rye Beer",16
"Thai.p.a",2618,0.07,46,"American IPA",16
"Citra Faced",2617,0.055,64,"American Pale Wheat Ale",16
"Pole Barn Stout",2616,0.055,31,"Oatmeal Stout",16
"Pale",2615,0.054,37,"American Pale Ale (APA)",16
"Yoshi's Nectar",2614,0.053,27,"California Common / Steam Beer",16
"The Gadget",2610,0.064,90,"American IPA",16
"Tribute",2609,0.058,58,"American Pale Ale (APA)",12
"Pale Alement",2478,0.055,40,"American Pale Ale (APA)",12
"Hopkick Dropkick",2471,0.099,115,"American Double / Imperial IPA",12
"Joey Wheat",2160,0.068,16,"American Pale Wheat Ale",16
"3:33 Black IPA",2158,0.072,86,"American IPA",16
"Pale Alement",2054,0.055,40,"American Pale Ale (APA)",16
"Tip Off",2605,0.052,29,"Altbier",16
"Cowbell",2164,0.054,23,"American Porter",16
"Hop Up Offa That Brett (2014)",2085,0.058,20,"Belgian Pale Ale",16
"PV Muckle (2013)",2084,0.083,23,"Scotch Ale / Wee Heavy",16
"Bourbon Barrel Batch 666: Sympathy for the Devil",2083,0.099,36,"Belgian Dark Ale",16
"Whip Fight",2082,0.09,30,"Scotch Ale / Wee Heavy",16
"Port Barrel Wee Mac",2081,0.053,23,"Scotch Ale / Wee Heavy",16
"Fistful Of Hops Red",2001,0.064,75,"American IPA",16
"Fistful of Hops Orange",2000,0.063,75,"American IPA",16
"Fistful Of Hops Blue",1999,0.064,75,"American IPA",16
"Fistful of Hops Green",1996,0.064,75,"American IPA",16
"Wee Muckle",1656,0.09,30,"Scotch Ale / Wee Heavy",16
"Royal Brat",1599,0.065,55,"Extra Special / Strong Bitter (ESB)",16
"Grapefruit Jungle (GFJ)",1420,0.075,77,"American IPA",16
"Osiris Pale Ale",1389,0.056,50,"American Pale Ale (APA)",16
"Bourbon Barrel Aged Timmie",1367,0.099,75,"Russian Imperial Stout",16
"Stupid Sexy Flanders",1366,0.063,23,"Flanders Oud Bruin",16
"Ring of Dingle",1128,0.071,27,"Irish Dry Stout",16
"Bourbon Barrel Wee Mac",1127,0.054,23,"Scottish Ale",16
"Bourbon Barrel Johan",1049,0.099,60,"English Barleywine",16
"The Velvet Fog",923,0.09,24,"Quadrupel (Quad)",16
"Sun King Oktoberfest",874,0.055,23,"Märzen / Oktoberfest",16
"Indianapolis Indians Lager",739,0.052,24,"Dortmunder / Export Lager",16
"Indians Victory Lager (2012)",698,0.052,24,"Dortmunder / Export Lager",16
"Isis",651,0.091,91,"American Double / Imperial IPA",16
"Wee Muckle (2011)",584,0.09,30,"Scotch Ale / Wee Heavy",16
"Grapefruit Jungle (GFJ) (2011)",532,0.075,77,"American IPA",16
"Sun King Oktoberfest (2011)",526,0.055,23,"Märzen / Oktoberfest",16
"Johan the Barleywine",394,0.099,60,"English Barleywine",16
"Wee Mac Scottish-Style Ale",213,0.054,23,"Scottish Ale",16
"Sunlight Cream Ale",55,0.053,20,"Cream Ale",16
"Osiris Pale Ale (2010)",54,0.056,50,"American Pale Ale (APA)",16
"Blonde Czich",2604,0.049,23,"American Blonde Ale",16
"White Reaper",2432,0.07,61,"Belgian IPA",16
"General George Patton Pilsner",1967,0.054,48,"Czech Pilsener",16
"Citrafest",2602,0.05,45,"American IPA",16
"Scarecrow",2219,0.069,65,"American IPA",16
"Ironman",2218,0.09,50,"English Strong Ale",16
"Honey Kolsch",2217,0.046,15,"Kölsch",16
"Copperhead Amber",2216,0.052,18,"Belgian Dark Ale",16
"Deduction",2601,0.08,22,"Dubbel",12
"Gone A-Rye",2600,0.085,90,"American Double / Imperial IPA",16
"Dankosaurus",2052,0.068,70,"American IPA",16
"Scruffy's Smoked Alt",1584,0.051,35,"Smoked Beer",16
"Elliott's Phoned Home Pale Ale",1182,0.051,36,"American Pale Ale (APA)",16
"The Lawn Ranger",1050,0.05,18,"Cream Ale",16
"Sex Panther",2599,0.069,20,"American Porter",12
"Winter Warmer (Vault Series)",2073,0.095,25,"Winter Warmer",16
"Count Hopula (Vault Series)",2063,0.091,99,"American Double / Imperial IPA",16
"SunSpot Golden Ale",1934,0.05,15,"American Blonde Ale",12
"Epicenter Amber Ale",1073,0.055,20,"American Amber / Red Ale",12
"SanTan HefeWeizen",1072,0.05,15,"Hefeweizen",12
"Hop Shock IPA",1071,0.07,85,"American IPA",12
"Sex Panther (2014)",852,0.069,20,"American Porter",12
"Devil’s Ale",850,0.055,45,"American Pale Ale (APA)",12
"Mr. Pineapple",777,0.05,20,"Fruit / Vegetable Beer",12
"American Idiot Ale (2012)",764,0.055,45,"American Pale Ale (APA)",12
"Hop Shock IPA (2010)",317,0.07,85,"American IPA",12
"SanTan HefeWeizen (2010)",286,0.05,15,"Hefeweizen",12
"Devil’s Ale (2010)",285,0.055,45,"American Pale Ale (APA)",12
"Epicenter Amber Ale (2010)",124,0.055,20,"American Amber / Red Ale",12
"Heavy Lifting",2596,0.062,80,"American IPA",12
"Surfrider",2594,0.052,35,"American Pale Ale (APA)",16
"Grandma's Pecan",1562,0.069,34,"English Brown Ale",16
"Double Trunk",1561,0.099,101,"American Double / Imperial IPA",16
"Even Keel",2105,0.038,40,"American IPA",12
"Ballast Point Pale Ale",1401,0.052,23,"Kölsch",12
"Big Eye India Pale Ale",1400,0.07,75,"American IPA",12
"Sculpin IPA",1018,0.07,70,"American IPA",12
"Czech Yo Self",2590,0.055,45,"Czech Pilsener",12
"FMB 101",1968,0.048,20,"Kölsch",12
"Avery Joe’s Premium American Pilsner",146,0.047,42,"German Pilsener",12
"White Rascal",108,0.056,10,"Witbier",12
"Avery India Pale Ale",107,0.063,69,"American IPA",12
"Ellie’s Brown Ale",106,0.055,17,"American Brown Ale",12
"Cow Creek",2588,0.054,26,"American Amber / Red Lager",12
"Chupahopra",2458,0.075,63,"American IPA",12
"Twisted X",2212,0.051,19,"American Adjunct Lager",12
"Vanilla Porter",2587,0.07,11,"American Porter",16
"Galaxy IPA",2585,0.075,60,"American IPA",16
"Gose",2584,0.046,8,"Gose",16
"Vermont Pilsner",2583,0.048,20,"German Pilsener",16
"Jah Mon",2579,0.05,100,"American IPA",12
"Fist City",2576,0.055,40,"American Pale Ale (APA)",12
"Rosa Hibiscus Ale",609,0.058,15,"Herbed / Spiced Beer",12
"Fistmas Ale",418,0.061,31,"Herbed / Spiced Beer",12
"Oktoberfest Revolution",417,0.057,25,"Märzen / Oktoberfest",12
"Eugene Porter",416,0.068,28,"American Porter",12
"Anti-Hero IPA",415,0.065,70,"American IPA",12
"Bottom Up Belgian Wit",414,0.05,14,"Witbier",12
"Wooden Rooster",2575,0.085,34,"Tripel",16.9
"Ginger Peach Saison",2555,0.048,20,"Saison / Farmhouse Ale",16
"Zombie Monkie",1736,0.062,35,"American Porter",16
"Wild Plum Farmhouse Ale",1196,0.056,20,"Saison / Farmhouse Ale",16
"Vanilla Bean Buffalo Sweat",1063,0.05,20,"Oatmeal Stout",16
"Ethos IPA",1017,0.068,110,"American IPA",16
"Tallgrass Pub Ale",1009,0.044,12,"American Brown Ale",16
"Oasis",912,0.072,93,"Extra Special / Strong Bitter (ESB)",16
"Buffalo Sweat",765,0.05,20,"Milk / Sweet Stout",16
"Halcyon Unfiltered Wheat",676,0.05,20,"American Pale Wheat Ale",16
"Halcyon Unfiltered Wheat",412,0.05,20,"American Pale Wheat Ale",12
"Köld Lager (2010)",105,0.05,16,"German Pilsener",16
"Oasis (2010)",104,0.072,93,"American Double / Imperial IPA",16
"Tallgrass Ale",103,0.044,22,"American Brown Ale",16
"Buffalo Sweat (2010)",102,0.05,20,"Milk / Sweet Stout",16
"Tallgrass IPA",101,0.063,60,"American IPA",16
"4Beans",2574,0.1,52,"Baltic Porter",12
"Jammer",2479,0.042,16,"Gose",12
"Rad",2266,0.032,7,"Fruit / Vegetable Beer",16
"Bengali",2090,0.065,62,"American IPA",24
"Sensi Harvest",1962,0.047,50,"American Pale Ale (APA)",12
"Hi-Res",1696,0.099,111,"American Double / Imperial IPA",12
"Global Warmer",1608,0.07,70,"American Strong Ale",12
"Autumnation (2013)",1591,0.067,74,"American IPA",16
"The Crisp",1388,0.054,42,"German Pilsener",16
"Sweet Action",1387,0.052,34,"Cream Ale",16
"Righteous Ale",1386,0.063,57,"Rye Beer",16
"Bengali Tiger",1385,0.064,62,"American IPA",16
"3Beans",1020,0.099,85,"Baltic Porter",12
"Brownstone",778,0.059,47,"American Brown Ale",16
"Apollo",630,0.052,11,"American Pale Wheat Ale",16
"Harbinger",629,0.049,35,"Saison / Farmhouse Ale",16
"Resin",628,0.091,103,"American Double / Imperial IPA",12
"Diesel",525,0.063,69,"American Stout",16
"Autumnation (2011-12) (2011)",512,0.06,48,"Pumpkin Ale",16
"The Crisp (2011)",425,0.054,42,"German Pilsener",16
"Sweet Action (2011)",424,0.052,34,"Cream Ale",16
"Righteous Ale (2011)",423,0.063,57,"Rye Beer",16
"Bengali Tiger (2011)",422,0.064,62,"American IPA",16
"Easy Jack",2569,0.045,47,"American IPA",12
"Union Jack",2463,0.075,75,"American IPA",12
"805",1733,0.047,20,"American Blonde Ale",12
"Take Two Pils",2568,0.055,35,"German Pilsener",12
"Flying Mouse 4",2566,0.07,70,"American IPA",12
"Lee Hill Series Vol. 2 - Wild Saison",2563,0.068,24,"American Wild Ale",19.2
"Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout",2562,0.099,51,"American Double / Imperial Stout",19.2
"Thai Style White IPA",1932,0.065,33,"American White IPA",12
"Ferus Fluxus Wild Belgian Pale Ale",1853,0.075,30,"American Wild Ale",19.2
"Upslope Imperial India Pale Ale",1315,0.099,90,"American Double / Imperial IPA",19.2
"Upslope Belgian Style Pale Ale",683,0.075,30,"Belgian Pale Ale",12
"Top Rope Mexican-style Craft Lager",466,0.048,15,"Vienna Lager",12
"Upslope Craft Lager",444,0.048,22,"Vienna Lager",12
"Moar",2558,0.044,44,"English India Pale Ale (IPA)",12
"Nordic Blonde",2556,0.057,27,"American Blonde Ale",12
"Mazzie",2553,0.054,45,"American Pale Ale (APA)",12
"Weissenheimer",2550,0.052,16,"Hefeweizen",12
"Abbey's Single (2015- )",2505,0.049,22,"Abbey Single Ale",12
"Vertex IPA",2025,0.063,76,"American IPA",12
"Here Gose Nothin'",2021,0.05,12,"Gose",12
"Hoperation Overload",1888,0.096,85,"American Double / Imperial IPA",12
"Abbey's Single Ale (Current)",1887,0.049,22,"Abbey Single Ale",12
"Make It So",2549,0.053,40,"Extra Special / Strong Bitter (ESB)",12
"Hopvale Organic Ale",2473,0.047,55,"American Pale Ale (APA)",16
"Unchained #18 Hop Silo",2415,0.083,100,"American Double / Imperial IPA",16
"Passion Fruit Prussia",2545,0.035,11,"Berliner Weissbier",12
"Send Help",2544,0.045,18,"American Blonde Ale",12
"Contact High",1870,0.05,28,"American Pale Wheat Ale",12
"BLAKKR",1739,0.099,85,"American Black Ale",16
"Overrated! West Coast Style IPA",1112,0.073,69,"American IPA",16
"WET",329,0.075,90,"American IPA",16
"Bitter Brewer",19,0.04,37,"English Bitter",16
"SurlyFest",18,0.055,34,"Rye Beer",16
"Coffee Bender",17,0.051,45,"American Brown Ale",16
"Bender",16,0.051,45,"American Brown Ale",16
"Abrasive Ale",15,0.097,120,"American Double / Imperial IPA",16
"Hell",14,0.051,20,"Keller Bier / Zwickel Bier",16
"CynicAle",13,0.067,33,"Saison / Farmhouse Ale",16
"Furious",12,0.062,99,"American IPA",16
"Citra Ass Down",2540,0.082,68,"American IPA",16
"The Brown Note",2539,0.05,20,"American Brown Ale",16
"Neomexicanus Native",2538,0.06,46,"American Pale Ale (APA)",12
"Old Soul",2355,0.075,25,"Belgian Strong Pale Ale",12
"Lava Lake Wit",685,0.052,15,"Witbier",12
"Crazy Mountain Amber Ale",356,0.052,25,"American Amber / Red Ale",12
"Daft Funk",2530,0.043,8,"Berliner Weissbier",24
"OktoberFiesta",2527,0.053,27,"",12
"Texicali",2526,0.065,33,"American Brown Ale",12
"Bat Outta Helles",2524,0.042,20,"Munich Helles Lager",12
"Rye Wit",2522,0.042,10,"Witbier",12
"Soul Doubt",2521,0.059,70,"American IPA",12
"Yo Soy Un Berliner",2520,0.044,5,"Berliner Weissbier",12
"Bimini Twist",2519,0.07,82,"American IPA",12
"Farmer's Daughter Blonde",2516,0.051,17,"American Blonde Ale",16
"Pump House IPA",2515,0.055,45,"American IPA",16
"Vanilla Porter",2513,0.047,25,"American Porter",16
"Honey Rye",2512,0.058,18,"Rye Beer",16
"Long Leaf",2511,0.071,75,"American IPA",16
"Honey Badger Blonde",2510,0.047,19,"American Blonde Ale",16
"Porter (a/k/a Black Gold Porter)",2509,0.06,23,"American Porter",16
"Jalapeno Pale Ale",2508,0.055,45,"American Pale Ale (APA)",16
"Double Duckpin",2507,0.085,90,"American Double / Imperial IPA",12
"Old Pro",2506,0.042,10,"Gose",12
"Hop A-Peel",2503,0.075,115,"American Double / Imperial IPA",16
"Vanilla Java Porter",2502,0.055,12,"American Porter",16
"Dirty Blonde Ale",534,0.045,8,"American Blonde Ale",12
"Grand Circus IPA",528,0.05,62,"American IPA",12
"Atwater's Lager",527,0.05,12,"Munich Helles Lager",12
"Wobble",2497,0.063,69,"American IPA",16
"Night Cat",2246,0.058,43,"American Dark Wheat Ale",12
"Night Cat (2014)",1630,0.058,43,"American Dark Wheat Ale",12
"Dog Days Lager",1284,0.051,17,"Dortmunder / Export Lager",12
"Sidekick Extra Pale Ale",1121,0.051,36,"American Pale Ale (APA)",12
"Atom Smasher",1042,0.077,23,"Märzen / Oktoberfest",12
"Cane and Ebel",861,0.07,68,"American Strong Ale",12
"Harness the Winter",2410,0.072,87,"American IPA",12
"14° ESB",1902,0.056,32,"Extra Special / Strong Bitter (ESB)",12
"Bent Hop Golden IPA",1901,0.062,68,"American IPA",12
"Bent Paddle Black Ale",1261,0.06,34,"American Black Ale",12
"Venture Pils",1253,0.05,38,"German Pilsener",12
"Baby Daddy Session IPA",2486,0.047,35,"American IPA",12
"Saddle Bronc Brown Ale",2485,0.048,16,"American Brown Ale",12
"Bomber Mountain Amber Ale",2484,0.046,20,"American Amber / Red Ale",12
"Totally Radler",2482,0.027,21,"Radler",16
"Nonstop Hef Hop",2400,0.039,20,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2399,0.039,20,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2398,0.039,20,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2397,0.039,20,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2396,0.039,20,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2395,0.039,20,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2394,0.039,20,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2393,0.039,20,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2392,0.039,20,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2391,0.039,20,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2390,0.039,20,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2389,0.039,20,"American Pale Wheat Ale",16
"Rise Up Red",2388,0.058,60,"American Amber / Red Ale",16
"Survival Stout",2200,0.058,35,"American Stout",16
"Hopworks IPA",2199,0.066,75,"American IPA",16
"Abominable Winter Ale",2193,0.073,70,"American Strong Ale",16
"Pigwar White India Pale Ale",1398,0.06,60,"American White IPA",16
"Rise-Up Red (2014)",1085,0.058,60,"American Amber / Red Ale",16
"Abominable Winter Ale (2012)",916,0.073,70,"American Strong Ale",16
"HUB Lager",658,0.051,32,"Czech Pilsener",16
"Hopworks IPA (2012)",653,0.066,75,"American IPA",16
"Slow Ride",2475,0.045,40,"American IPA",12
"Ranger IPA",2230,0.065,70,"American IPA",12
"Shift",1987,0.05,29,"American Pale Lager",12
"1554 Black Lager",1978,0.056,21,"Euro Dark Lager",12
"Fat Tire Amber Ale",1586,0.052,18,"American Amber / Red Ale",12
"Shift (1)",952,0.05,29,"American Pale Lager",12
"Fat Tire Amber Ale (2011)",748,0.052,18,"American Amber / Red Ale",12
"Shift",578,0.05,29,"American Pale Lager",16
"Ranger IPA",564,0.065,70,"American IPA",16
"Fat Tire Amber Ale",563,0.052,18,"American Amber / Red Ale",16
"Ranger IPA (Current)",115,0.065,70,"American IPA",12
"Fat Tire Amber Ale (2008)",71,0.052,18,"American Amber / Red Ale",12
"Torpedo",2239,0.072,65,"American IPA",12
"Sierra Nevada Pale Ale",1905,0.056,37,"American Pale Ale (APA)",16
"Old Chico Crystal Wheat",1338,0.048,26,"American Pale Wheat Ale",12
"Summerfest",1295,0.05,28,"Czech Pilsener",12
"Torpedo",426,0.072,65,"American IPA",16
"Sierra Nevada Pale Ale",400,0.056,37,"American Pale Ale (APA)",12
"Captain's Daughter",2044,0.085,69,"American Double / Imperial IPA",12
"India Pale Ale",2460,0.063,65,"American IPA",16
"Blackberry Wheat",2459,0.048,11,"American Pale Wheat Ale",16
"312 Urban Pale Ale",2457,0.054,30,"American Pale Ale (APA)",16
"312 Urban Pale Ale",2202,0.054,30,"American Pale Ale (APA)",12
"312 Urban Wheat Ale",2201,0.042,18,"American Pale Wheat Ale",16
"312 Urban Wheat Ale",1829,0.042,18,"American Pale Wheat Ale",12
"312 Urban Wheat Ale (2012)",581,0.042,20,"American Pale Wheat Ale",12
"Sol Drifter",2209,0.043,18,"American Blonde Ale",12
"The Great Pumpcan",1994,0.079,18,"Fruit / Vegetable Beer",16
"LIFT",1816,0.047,11,"Kölsch",12
"SPRYE",1815,0.05,40,"American Pale Ale (APA)",12
"Psychopathy",1126,0.069,70,"American IPA",12
"Gnarly Brown",1125,0.07,32,"American Brown Ale",12
"Happy Amber",1124,0.06,30,"American Amber / Red Ale",12
"Hustle",2452,0.057,42,"American Amber / Red Ale",12
"Pure Fury",2451,0.055,42,"American Pale Ale (APA)",12
"Dad",2132,0.06,60,"American Amber / Red Ale",12
"Panther",1993,0.058,35,"American Porter",12
"Franz",1992,0.052,21,"Märzen / Oktoberfest",12
"Zen",1935,0.043,45,"American Pale Ale (APA)",12
"Truth",1852,0.072,75,"American IPA",12
"Cougar",1851,0.048,25,"American Blonde Ale",12
"Self Starter",2450,0.052,67,"American IPA",16
"Ermal's",2223,0.054,20,"Cream Ale",16
"Nugget Nectar",2444,0.075,93,"American Amber / Red Ale",16
"Sunshine Pils",2203,0.045,45,"American Pilsner",12
"Troegenator Doublebock",1510,0.082,25,"Doppelbock",16
"Perpetual IPA",1509,0.075,85,"American IPA",12
"Mission IPA",2441,0.068,66,"American IPA",32
"El Conquistador Extra Pale Ale",1460,0.048,44,"American Pale Ale (APA)",32
"Shipwrecked Double IPA",1459,0.092,75,"American Double / Imperial IPA",32
"Bay of Bengal Double IPA (2014)",2440,0.089,126,"American Double / Imperial IPA",12
"Rhode Island Blueberry",2438,0.046,11,"Kölsch",12
"Newport Storm IPA",2437,0.065,75,"American IPA",12
"Hurricane Amber Ale (2004)",751,0.052,24,"American Amber / Red Ale",12
"Hurricane Amber Ale",120,0.052,24,"American Amber / Red Ale",12
"King Street IPA",1667,0.06,70,"American IPA",12
"King Street Hefeweizen",1666,0.057,10,"Hefeweizen",12
"Watermelon Ale",2435,0.05,10,"Fruit / Vegetable Beer",12
"Fenway American Pale Ale",2423,0.058,45,"American Pale Ale (APA)",12
"Back Bay IPA",2420,0.068,85,"American IPA",12
"Bunker Hill Blueberry Ale",2419,0.048,16,"Other",12
"Peach Pale Ale",2434,0.057,40,"American Pale Ale (APA)",12
"Suncaster Summer Wheat",2427,0.05,28,"American Pale Wheat Ale",12
"Brass Knuckle Pale Ale",2425,0.057,36,"American Pale Ale (APA)",12
"Big Star White IPA",2424,0.07,70,"American White IPA",12
"Clean Shave IPA",2426,0.067,70,"American IPA",12
"Firestarter India Pale Ale",2422,0.066,72,"American IPA",12
"Kilt Dropper Scotch Ale",1727,0.075,22,"Scotch Ale / Wee Heavy",16
"Wood Splitter Pilsner",1614,0.048,30,"Czech Pilsener",16
"Gyptoberfest",1613,0.056,26,"Märzen / Oktoberfest",12
"Farmer Wirtz India Pale Ale",1549,0.07,94,"English India Pale Ale (IPA)",16
"Screaming Eagle Special Ale ESB",1360,0.048,38,"Extra Special / Strong Bitter (ESB)",12
"Kindler Pale Ale",1183,0.053,45,"American Pale Ale (APA)",12
"Firestarter India Pale Ale",633,0.066,72,"American IPA",16
"Watermelon Ale",2421,0.051,11,"Fruit / Vegetable Beer",12
"4000 Footer IPA",2417,0.065,82,"American IPA",12
"Summer Brew",2306,0.028,15,"American Pilsner",12
"Consilium",2414,0.05,40,"American Pale Ale (APA)",12
"Hammer & Sickle",1581,0.09,60,"Russian Imperial Stout",12
"Redacted Rye IPA",1176,0.07,100,"American IPA",16
"Elevation Triple India Pale Ale",1006,0.099,100,"American Double / Imperial IPA",12
"5:00 O'Clock Afternoon Ale",1005,0.05,25,"American Blonde Ale",16
"Ryeteous Rye IPA (2012)",636,0.07,100,"American IPA",16
"Cali Creamin'",2413,0.052,21,"Cream Ale",12
"Deception",2412,0.045,16,"American Blonde Ale",12
"Blackmarket Rye IPA",1898,0.075,35,"American IPA",12
"Black Market Hefeweizen",1897,0.05,8,"Hefeweizen",12
"Aftermath Pale Ale",1896,0.058,44,"American Pale Ale (APA)",12
"Rule G IPA",2407,0.07,88,"American IPA",12
"Murphy's Law",2406,0.058,35,"American Amber / Red Ale",12
"Alter Ego",2405,0.062,33,"Saison / Farmhouse Ale",12
"Hop in the ‘Pool Helles",2404,0.049,22,"American Pilsner",12
"Ultra Gnar Gnar IPA",2323,0.067,60,"American IPA",12
"In-Tents India Pale Lager",2189,0.068,62,"American Pale Lager",12
"Lost Meridian Wit",2188,0.05,20,"Witbier",12
"Celestial Meridian Cascadian Dark Lager",2187,0.051,45,"Euro Dark Lager",12
"P-Town Pilsner",2403,0.04,20,"American Pilsner",12
"Klickitat Pale Ale",2402,0.053,36,"American Pale Ale (APA)",12
"Yellow Wolf Imperial IPA",2401,0.082,103,"American Double / Imperial IPA",12
"Pine Belt Pale Ale",2387,0.065,45,"American Pale Ale (APA)",12
"Le Mort Vivant",1740,0.069,23,"Bière de Garde",12
"Red Cockaded Ale",1728,0.085,110,"American Double / Imperial IPA",12
"Valkyrie Double IPA",1497,0.092,100,"American Double / Imperial IPA",12
"Red Cockaded Ale (2013)",1011,0.085,110,"American Double / Imperial IPA",12
"Old Potentate",1010,0.072,40,"Old Ale",12
"Bombshell Blonde",856,0.05,20,"American Blonde Ale",16
"PRO-AM (2012) (2012)",853,0.099,100,"American Double / Imperial IPA",12
"Le Mort Vivant (2011)",555,0.069,23,"Bière de Garde",12
"Buried Hatchet Stout",46,0.083,50,"Foreign / Export Stout",12
"Pine Belt Pale Ale",45,0.065,45,"American Pale Ale (APA)",16
"Bombshell Blonde",44,0.05,20,"American Blonde Ale",12
"Third Eye Enlightened Pale Ale",2386,0.065,65,"American Pale Ale (APA)",12
"Colorado Kölsch",92,0.049,17,"Kölsch",12
"Steam Engine Lager",91,0.057,25,"American Amber / Red Lager",12
"Third Eye Pale Ale",90,0.065,65,"American IPA",12
"Laka Laka Pineapple",2384,0.051,17,"Hefeweizen",12
"IPA #11",2380,0.057,58,"American IPA",16
"Blood Orange Honey",2379,0.057,10,"Fruit / Vegetable Beer",16
"Main St. Virginia Ale",2377,0.05,40,"Altbier",12
"Chin Music Amber Lager",1839,0.045,24,"American Amber / Red Lager",12
"Main St. Virginia Ale",1248,0.05,40,"Altbier",12
"Ray Ray’s Pale Ale",1247,0.052,42,"American Pale Ale (APA)",12
"Mr. Blue Sky",2375,0.045,6,"American Pale Wheat Ale",16
"Screamin’ Pumpkin",2142,0.05,25,"Pumpkin Ale",16
"Grand Trunk Bohemian Pils",2141,0.05,35,"Czech Pilsener",16
"El Rojo",2140,0.065,25,"American Amber / Red Ale",16
"Grind Line",2138,0.05,35,"American Pale Ale (APA)",16
"Norm's Gateway IPA",2007,0.04,55,"American IPA",12
"Weisse Versa (2012)",2374,0.052,16,"Hefeweizen",12
